"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.20.2014","X9.21.2014","X9.27.2014","X10.4.2014","X10.5.2014","X10.11.2014","X10.18.2014","X10.19.2014","X10.25.2014","X10.26.2014","X11.1.2014","X11.2.2014","X11.3.2014","X11.8.2014","X11.9.2014","X11.15.2014","X11.16.2014","X11.22.2014","X12.6.2014","X1.11.2015","X1.17.2015","X1.18.2015","X1.24.2015","X1.31.2015","X2.7.2015","X2.14.2015","X2.15.2015","X2.21.2015","X2.22.2015","X2.28.2015","X3.1.2015","X3.7.2015","X3.14.2015","X3.21.2015","X3.22.2015","X3.23.2015","X3.28.2015","X4.11.2015","X4.12.2015","X4.25.2015"
"1","Bowling Green State University",2014,1865.15266765842,1758.46508236445,13901.2058073959,1770.30850792726,1770.30850792726,1770.30850792726,1916.44252913811,1916.44252913811,1916.44252913811,1833.95392041244,1833.95392041244,1833.95392041244,1833.95392041244,1833.95392041244,1833.95392041244,1833.95392041244,1878.84214552446,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1915.89992610859,1889.45190672182,1797.19012650639,1797.19012650639,1797.19012650639,1887.53925474738,1865.15266765842,1865.15266765842
"2","Michigan State Quidditch",2014,1638.91188548349,1682.22770268902,11963.0334437354,1626.04308823659,1626.04308823659,1626.04308823659,1626.04308823659,1626.04308823659,1640.85616795542,1602.71081548736,1640.18871945829,1640.18871945829,1640.18871945829,1640.18871945829,1640.18871945829,1640.18871945829,1607.23042489264,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1638.31605344033,1586.59741155123,1529.20604774502,1529.20604774502,1529.20604774502,1632.01078363742,1638.91188548349,1638.91188548349
"3","Ohio State Quidditch",2014,2000.51933585463,1761.56841139293,11687.4394925594,1822.51072732323,1822.51072732323,1822.51072732323,1886.35582979573,1886.35582979573,1986.5743659195,2023.81363277862,2022.75639760709,2022.75639760709,2022.75639760709,2022.75639760709,2022.75639760709,2022.75639760709,2039.07292061078,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,2089.39771293803,1995.95686292909,2000.51933585463,2000.51933585463
"4","Wooster Scottish Nationals",2014,1176.63191947336,1319.79817462196,2485.13764177704,1251.65130234969,1251.65130234969,1251.65130234969,1251.65130234969,1251.65130234969,1251.65130234969,1202.49391578721,1100.05811239649,1163.52556676589,1163.52556676589,1163.52556676589,1163.52556676589,1163.52556676589,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1171.78914012992,1189.90990137593,1176.63191947336,1176.63191947336
"5","Central Michigan Quidditch",2014,1584.68545288026,1761.70510370349,13577.2078159548,1816.01564124949,1816.01564124949,1816.01564124949,1816.01564124949,1816.01564124949,1785.63619919767,1821.76449650534,1764.85915325216,1764.85915325216,1764.85915325216,1764.85915325216,1764.85915325216,1764.85915325216,1864.31712612759,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1816.73417738156,1805.68223029675,1805.68223029675,1805.68223029675,1805.68223029675,1637.89877782592,1584.68545288026,1584.68545288026
"6","Crimson Elite",2015,1763.11075464579,1500,12321.1296684671,1540.51203884605,1540.51203884605,1540.51203884605,1540.51203884605,1540.51203884605,1540.51203884605,1540.51203884605,1540.51203884605,1540.14120855838,1540.14120855838,1540.14120855838,1540.14120855838,1540.14120855838,1540.14120855838,1540.14120855838,1639.41678876155,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1632.08286695535,1715.82437624535,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1706.4047600179,1810.62216122732,1763.11075464579,1763.11075464579
"7","Northern Arizona University Narwhals",2014,1766.80968563325,1571.86256305178,16206.9291197902,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1659.23223397032,1708.8210742332,1708.8210742332,1704.13618029926,1705.16412608403,1705.16412608403,1705.16412608403,1705.16412608403,1705.16412608403,1705.16412608403,1762.87300916726,1762.87300916726,1762.87300916726,1762.87300916726,1762.87300916726,1789.080532743,1766.80968563325,1766.80968563325
"8","University of Northern Colorado",2014,1449.08615458808,1476.4602855327,13197.3465282775,1511.89320383802,1511.89320383802,1511.89320383802,1511.89320383802,1511.89320383802,1511.89320383802,1511.89320383802,1511.89320383802,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808,1449.08615458808
"9","Blue Mountain Quidditch Club",2015,1879.36929176285,1500,12704.6180303747,1567.18646908076,1567.18646908076,1567.18646908076,1588.07725379684,1588.07725379684,1615.37646964478,1627.19594679812,1767.08898659771,1767.08898659771,1767.08898659771,1767.08898659771,1767.08898659771,1767.08898659771,1776.99862682329,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1816.07387247633,1786.70929285068,1757.08205998127,1757.08205998127,1757.08205998127,1834.60858682501,1879.36929176285,1879.36929176285
"10","Miami University",2014,1537.42990676459,1478.73003480567,11915.9623105131,1487.99040032596,1487.99040032596,1487.99040032596,1632.25158479251,1632.25158479251,1632.25158479251,1669.37311094833,1620.44233605598,1620.44233605598,1620.44233605598,1620.44233605598,1620.44233605598,1620.44233605598,1634.05659161317,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1584.11275006933,1579.51790437565,1537.42990676459,1537.42990676459
