"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.24.2016","X9.25.2016","X10.1.2016","X10.8.2016","X10.9.2016","X10.15.2016","X10.22.2016","X10.23.2016","X10.29.2016","X10.30.2016","X11.5.2016","X11.6.2016","X11.12.2016","X11.13.2016","X11.19.2016","X11.20.2016","X12.3.2016","X1.14.2017","X1.21.2017","X1.28.2017","X2.4.2017","X2.11.2017","X2.12.2017","X2.18.2017","X2.19.2017","X2.25.2017","X2.26.2017","X3.4.2017","X3.5.2017","X3.11.2017","X3.18.2017","X3.25.2017","X3.26.2017","X4.8.2017","X4.9.2017"
"1","Marquette University Quidditch",2014,1495.00192076709,1672.934175919,10569.6753850144,1685.01776684009,1685.01776684009,1683.62225472813,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1584.59021602742,1573.05725178785,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1596.85921254509,1568.08858898561,1568.08858898561,1486.71408673704,1486.71408673704,1486.71408673704,1486.71408673704,1486.71408673704,1486.71408673704,1495.00192076709,1495.00192076709
"2","RIT Dark Marks",2014,1511.17038089638,1558.85062635157,12556.3104377297,1527.5372381512,1527.5372381512,1527.5372381512,1614.57904788833,1614.57904788833,1598.09186177151,1598.09186177151,1598.09186177151,1588.28286171574,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1710.14852603964,1568.44030178987,1568.44030178987,1568.44030178987,1568.44030178987,1511.17038089638,1511.17038089638
"3","Ohio State Quidditch",2014,1742.33967460205,1600.55290472837,11687.4394925594,1678.62801123887,1678.62801123887,1678.62801123887,1730.2149344771,1730.2149344771,1730.2149344771,1730.2149344771,1730.2149344771,1730.2149344771,1730.2149344771,1757.21673301476,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1784.68001850397,1827.63737753725,1827.63737753725,1827.63737753725,1827.63737753725,1827.63737753725,1827.63737753725,1832.82380755727,1832.82380755727,1771.80594191623,1742.33967460205
"4","Ball State Cardinals",2014,1876.00095351208,1942.0834587279,9031.34088482526,1849.00724625096,1849.00724625096,1856.43993230762,1952.75115236495,1952.75115236495,1952.75115236495,1952.75115236495,1952.75115236495,1952.75115236495,1952.75115236495,1968.26716891173,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1929.14604991352,1896.01177978211,1896.01177978211,1896.01177978211,1896.01177978211,1896.01177978211,1896.01177978211,1884.13692363847,1884.13692363847,1908.45097276572,1876.00095351208
"5","Ohio University Quidditch Club",2014,1451.99874897939,1455.71009309555,10039.0471038507,1362.84058735024,1362.84058735024,1361.2240236316,1361.2240236316,1361.2240236316,1454.54956467637,1454.54956467637,1454.54956467637,1454.54956467637,1454.54956467637,1542.09046478028,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1521.39951550219,1496.21688574239,1496.21688574239,1496.21688574239,1496.21688574239,1496.21688574239,1496.21688574239,1451.99874897939,1451.99874897939,1451.99874897939,1451.99874897939
"6","Central Michigan Quidditch",2014,1728.73831056315,1531.81571206516,13577.2078159548,1586.58401763499,1586.58401763499,1586.58401763499,1570.11192890744,1570.11192890744,1666.19382122878,1666.19382122878,1666.19382122878,1666.19382122878,1666.19382122878,1645.28829270416,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1637.29294538778,1730.05811443626,1730.05811443626,1730.05811443626,1730.05811443626,1730.05811443626,1730.05811443626,1778.52930147757,1649.30020350641,1693.37586997648,1728.73831056315
"7","Bowling Green State University",2014,2114.15340436635,1902.18891050032,13901.2058073959,1990.35369696867,1990.35369696867,2029.9417586992,2029.9417586992,2029.9417586992,2029.9417586992,2029.9417586992,2029.9417586992,2029.9417586992,2029.9417586992,2039.55769946258,2113.16479569675,2113.16479569675,2113.16479569675,2113.16479569675,2113.16479569675,2113.16479569675,2113.16479569675,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2127.46836559933,2097.20384196982,2097.20384196982,2085.72672336611,2114.15340436635
"8","Miami University",2014,1572.34345921648,1667.78591912388,11915.9623105131,1729.78753363971,1729.78753363971,1729.78753363971,1611.06100862952,1611.06100862952,1611.06100862952,1611.06100862952,1611.06100862952,1611.06100862952,1611.06100862952,1660.97565607441,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1686.19428912946,1634.75038178026,1634.75038178026,1634.75038178026,1634.75038178026,1587.82865991759,1587.82865991759,1587.82865991759,1587.82865991759,1572.34345921648,1572.34345921648
"9","Wooster Scottish Nationals",2014,1191.21113446928,1276.02065189114,2485.13764177704,1256.65471366814,1256.65471366814,1231.92181301159,1231.92181301159,1231.92181301159,1231.92181301159,1231.92181301159,1231.92181301159,1231.92181301159,1231.92181301159,1202.91269409132,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928,1191.21113446928
"10","Rochester United",2016,2157.63292808326,2004.33227731588,15642.0274965222,2030.63246762498,2030.63246762498,2030.63246762498,2030.63246762498,2030.63246762498,2078.5042277896,2078.5042277896,2078.5042277896,2088.73233016742,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2102.21934676118,2142.55283728876,2142.55283728876,2142.55283728876,2142.55283728876,2166.33572831788,2157.63292808326
