date,season,matchtype,matchno,elapsed_time,overtime_level,overtime_gametime,second_overtime_gametime,teamA_name,teamA_score,teamB_name,teamB_score,qpd,teamA_rt_snitch,teamB_rt_snitch,teamA_ot_snitch,teamB_ot_snitch,teamA_sd_snitch,teamB_sd_snitch,elapsed_time2,head_ref,snitch
9/15/2013,2014,0,1,0:00:00,0,,0,Alfred University Saxons,100,SUNY Geneseo,70,0,1,0,0,0,0,0,0:00:00,,
9/15/2013,2014,0,2,0:00:00,0,,0,Syracuse University Quidditch Club,70,SUNY Geneseo,50,-10,1,0,0,0,0,0,0:00:00,,
9/15/2013,2014,0,3,0:00:00,0,,0,Alfred University Saxons,70,Syracuse University Quidditch Club,50,-10,1,0,0,0,0,0,0:00:00,,
9/21/2013,2014,0,4,21:09:00,0,,0,RIT Dark Marks,60,Canada's Finest Quidditch Club,20,10,1,0,0,0,0,0,21:09:00,,
9/21/2013,2014,0,5,17:14:00,0,,0,Syracuse University Quidditch Club,50,Canada's Finest Quidditch Club,30,-10,1,0,0,0,0,0,17:14:00,,
9/21/2013,2014,0,6,12:44:00,0,,0,University of Rochester Thestrals,110,Canada's Finest Quidditch Club,10,70,1,0,0,0,0,0,12:44:00,,
9/21/2013,2014,0,7,15:27:00,0,,0,Mizzou Quidditch,90,Illinois State University Firebirds,50,10,1,0,0,0,0,0,15:27:00,,
9/21/2013,2014,0,8,11:09:00,0,,0,Tennessee Tech Quidditch,80,Illinois State University Firebirds,20,30,1,0,0,0,0,0,11:09:00,,
9/21/2013,2014,0,9,16:19:00,0,,0,Tennessee Tech Quidditch,130,Mizzou Quidditch,60,40,1,0,0,0,0,0,16:19:00,,
9/21/2013,2014,0,10,17:16:00,0,,0,University of Rochester Thestrals,90,RIT Dark Marks,30,30,1,0,0,0,0,0,17:16:00,,
9/21/2013,2014,0,11,11:30:00,0,,0,Cal Quidditch,60,Silicon Valley Skrewts,10,20,1,0,0,0,0,0,11:30:00,,
9/21/2013,2014,0,12,15:57:00,0,,0,Cal Quidditch,170,Skyfighters Quidditch Club,0,140,1,0,0,0,0,0,15:57:00,,
9/21/2013,2014,0,13,14:52:00,0,,0,RIT Dark Marks,170,SUNY Cortland Red Dragons,0,140,1,0,0,0,0,0,14:52:00,,
9/21/2013,2014,0,14,17:22:00,0,,0,SUNY Geneseo,70,SUNY Cortland Red Dragons,30,70,0,1,0,0,0,0,17:22:00,,
9/21/2013,2014,0,15,18:10:00,0,,0,Syracuse University Quidditch Club,130,SUNY Cortland Red Dragons,20,80,1,0,0,0,0,0,18:10:00,,
9/21/2013,2014,0,16,16:58:00,0,,0,University of Rochester Thestrals,220,SUNY Cortland Red Dragons,0,190,1,0,0,0,0,0,16:58:00,,
9/21/2013,2014,0,17,19:15:00,0,,0,Canada's Finest Quidditch Club,70,SUNY Geneseo,40,0,1,0,0,0,0,0,19:15:00,,
9/21/2013,2014,0,18,13:09:00,0,,0,RIT Dark Marks,50,SUNY Geneseo,40,40,0,1,0,0,0,0,13:09:00,,
9/21/2013,2014,0,19,19:36:00,0,,0,SUNY Geneseo,100,Syracuse University Quidditch Club,10,60,1,0,0,0,0,0,19:36:00,,
9/21/2013,2014,0,20,1:30:00,0,,0,University of Rochester Thestrals,200,Syracuse University Quidditch Club,10,160,1,0,0,0,0,0,1:30:00,,
9/21/2013,2014,0,21,16:10:00,0,,0,Southern Illinois University Quidditch,60,Tennessee Tech Quidditch,50,-20,1,0,0,0,0,0,16:10:00,,
9/28/2013,2014,0,22,0:00:00,0,,0,Ohio State Quidditch,60,Ball State Cardinals,50,-20,1,0,0,0,0,0,0:00:00,,
9/28/2013,2014,0,23,0:00:00,0,,0,Crimson Fliers,280,Boggarts Quidditch Club at Colorado State University,10,240,1,0,0,0,0,0,0:00:00,,
9/28/2013,2014,0,24,19:20:00,0,,0,Emerson College Quidditch,190,Brandeis Quidditch,20,140,1,0,0,0,0,0,19:20:00,,
