index,team.name,abbreviation,city,state,zip,type,lat,long,region
1,Alfred University Saxons,alfred-saxons,Alfred,NY,14802,College,42.2552,-77.793,NE
16,Binghamton Quidditch,bing-quidditch,Vestal,NY,13902,Adult Community,42.0986,-75.9183,NE
21,Bosnyan Bearsharks,bosny,brooklyn,NY,11206,Adult Community,40.7012,-73.9436,NE
22,Boston Riot,riot,Jamaica Plain,MA,2130,Adult Community,42.3126,-71.1115,NE
23,Boston University Quidditch,bu,Boston,MA,2215,College,42.3471,-71.1027,NE
25,Brandeis Quidditch,brandeis,Waltham,MA,2454,College,42.3888,-71.2426,NE
37,Clark University Quidditch,cu-quidditch-1,Worcester,MA,1610,College,42.2492,-71.8108,NE
43,Cornell Quidditch,cornell-quidditch,Ithaca,NY,14850,Adult Community,42.4485,-76.4929,NE
49,CT Cornish Pixies Quidditch,cornish-pixies,East Hampton,CT,6424,Adult Community,41.5761,-72.5093,NE
65,Emerson College Quidditch,ecq,Boston,MA,2116,Adult Community,42.3492,-71.0768,NE
66,Emerson Community Quidditch,emerson-1,Cambridge,MA,2140,Adult Community,42.3914,-71.1294,NE
76,Fredonia Quidditch,fredonia,Fredonia,NY,14063,College,42.4333,-79.3339,NE
83,Harvard Horntails,harvard,Cambridge,MA,2138,College,42.377,-71.1256,NE
84,Hofstra University Flying Dutchmen,hofstra-quidditch,Hempstead,NY,11549,College,40.7139,-73.6003,NE
96,Ithaca College Hex,ic-hex,Ithaca,NY,14850,College,42.4485,-76.4929,NE
97,Ithaca Community Quidditch Team,ithaca-hex,Ithaca,NY,14850,Adult Community,42.4485,-76.4929,NE
98,Ives Pond Quidditch Club,ives-pond,Clarence Center,NY,14032,Adult Community,43.0362,-78.639,NE
116,Macaulay Honors College Marauders,macaulay-marauders,New York,NY,10023,College,40.7764,-73.9827,NE
128,MIT Marauders,mit,Cambridge,MA,2139,College,42.3647,-71.1042,NE
134,New Haven Nightmares,nightmares,West Haven,CT,6516,College,41.2701,-72.9638,NE
135,New York Badassilisks,ny-badassilisks,New York,NY,10033,Adult Community,40.8496,-73.9356,NE
136,New York Pigeons,pigeons,New York,NY,10003,College,40.7313,-73.9892,NE
137,New York Quidditch Club,new-york-qc,New York,NY,10012,College,40.7255,-73.9983,NE
138,New York University Nundu,nyu-nundu,New York,NY,10012,College,40.7255,-73.9983,NE
157,Providence Ashwinders,providence,Providence,RI,2912,Adult Community,41.8258,-71.4008,NE
163,Quidditch Club Boston,q-c-boston-1,Somerville,MA,2144,Adult Community,42.4003,-71.1221,NE
176,RIT Dark Marks,dark-marks,Rochester,NY,14623,College,43.0834,-77.6344,NE
178,Rochester United,rochester-united,Rochester,NY,14623,Adult Community,43.0834,-77.6344,NE
180,RPI Quidditch,rpi,Troy,NY,12180,College,42.7287,-73.6683,NE
193,Skidmore Quidditch,skidmore-quidditch,Saratoga Springs,NY,12866,College,43.0801,-73.7806,NE
201,Stony Brook Quidditch,stony-brook,Stony Brook,NY,11794,College,40.9141,-73.1255,NE
203,SUNY Cortland Red Dragons,red-dragons,Cortland,NY,13045,College,42.5952,-76.1857,NE
204,SUNY Geneseo,geneseo,Geneseo,NY,14454,College,42.7938,-77.7996,NE
205,Syracuse University Quidditch Club,syracuse-snare,Syracuse ,NY,13244,College,43.0394,-76.1361,NE
219,The Flying Knights Quidditch Club,the-flying-knights,Randolph Center,VT,5061,College,43.9379,-72.597,NE
227,The Rogues,the-rogues,Brooklyn,NY,11206,Adult Community,40.7012,-73.9436,NE
240,Tufts University Tufflepuffs,tufts-quidditch,Medford,MA,2155,College,42.4173,-71.1087,NE
243,University at Buffalo Dragons,ub-dragons,Buffalo ,NY,14260,College,43.0003,-78.7902,NE
253,University of Massachusetts Amherst,umass-amherst,Amherst,MA,01003-9359,College,42.3892,-72.5256,NE
254,University of Massachusetts Amherst Sillynannies,umass-amherst-sillynannies,Amherst,MA,01003-9359,College,42.3892,-72.5256,NE
255,University of Massachusetts Lowell Riverhawks,umass-lowell-riverhawks-1,Lowell,MA,1854,College,42.6493,-71.3355,NE
262,University of Rhode Island,rhody-ridgebacks,Kingston ,RI,2881,College,41.4803,-71.5292,NE
263,University of Rochester Thestrals,ur-thestrals,Rochester,NY,14620,College,43.1317,-77.6062,NE
271,University of Vermont Quidditch,vermont,Burlington,VT,5401,College,44.484,-73.2199,NE
3,Annapolis Annihilators,naptown,Annapolis,MD,21403,Youth Community,38.9524,-76.491,MA
5,Appalachian Apparators Quidditch,the-apparators,Boone,NC,28608,Adult Community,36.2167,-81.6747,MA
6,Appoquinimink High School Hippogriffs,appo,Newark,DE,19702,High School,39.6349,-75.6993,MA
29,Capital Madness Quidditch Club,capital-madness,Fairfax,VA,22032,Adult Community,38.8177,-77.2925,MA
30,Carnegie Mellon Quidditch Club,carnegie-mellon,Pittsburgh,PA,15289,College,40.4406,-79.9961,MA
39,CNU Captains of Crucio,captains,Newport News,VA,23606,College,37.0768,-76.4967,MA
54,Dickinson College Dirigible Plums,dickinson-college,Carlisle,PA,17013-2311,College,40.2039,-77.1995,MA
55,District of Columbia Quidditch Club,dc-quidditch,Fairfax,VA,22033,Adult Community,38.8776,-77.3885,MA
57,Drexel Quidditch Club,drexel,Philadelphia,PA,19104,College,39.9597,-75.2024,MA
58,Duke University Quidditch,duke-quidditch-1,Durham,NC,27708,College,35.9985,-78.9394,MA
75,Franklin and Marshall Quidditch,f-m-quidditch,Lancaster,PA,17603,College,40.0305,-76.3316,MA
78,George Mason Club Quidditch,gmu-qc,Fairfax,VA,22030,College,38.8458,-77.3242,MA
79,George Mason University,gmu-quidditch,Fairfax Station,VA,22039,College,38.7602,-77.3064,MA
81,Grove City Legion of Broom,grove-city,Grove City,PA,16127,College,41.1607,-80.0841,MA
85,Hopkins Hallows,hopkins,Baltimore,MD,21218,College,39.3265,-76.6048,MA
86,Horn Tailed Horcruxes,horn-tails-1,Irvington,NJ,7079,Adult Community,40.7465,-74.2575,MA
87,Horn Tailed Horcruxes Quidditch Team,horn-tailed-horcruxes,South Orange,NJ,7079,Adult Community,40.7465,-74.2575,MA
99,James Madison University Quidditch,madison-marauders,Harrisonburg,VA,22807,College,38.4341,-78.8674,MA
100,Johns Hopkins Quidditch,hopkins-1,Baltimore,MD,21218,College,39.3265,-76.6048,MA
102,Kutztown University Quidditch,kutztown-quidditch,Kutztown,PA,19530,College,40.5214,-75.7774,MA
104,Lafayette Club Quidditch,lafayette-quidditch,Easton,PA,18042,College,40.6867,-75.2358,MA
108,Lock Haven University Quidditch,lhu-quidditch,Lock Haven,PA,17745,College,41.1425,-77.4436,MA
117,Mansfield University Fire Ferrets Quidditch,mu-fire-ferrets-1,Mansfield,PA,16933,College,41.8123,-77.0716,MA
119,Maryland Quidditch,maryland,College Park,MD,20740,College,38.9963,-76.9299,MA
143,NYDC Capitalists,nydc,Alexandria,VA,22304,Adult Community,38.8149,-77.121,MA
153,Penn Quidditch,upenn,Philadelphia,PA,19104,College,39.9597,-75.2024,MA
154,Penn State University Nittany Lions,penn-state-nittany-lions,University Park,PA,16802,College,40.8019,-77.8567,MA
155,Philadelphia Honey Badgers,philly-honey-badgers,Philadelphia,PA,8535,Adult Community,40.215,-74.4404,MA
160,Q.C. Pittsburgh,q-c-pitt-2,Pittsburgh,PA,15213,College,40.4437,-79.9544,MA
161,Quidditch at the University of Virginia,whomping-wahoos,Charlottesville,VA,22904,College,38.0337,-78.5153,MA
164,Quidditch Club of Pittsburgh,qc-pitt,Pittsburgh,PA,15213,College,40.4437,-79.9544,MA
165,Quidditch Club of the Carolinas,qc-carolinas,Boone,NC,28607,Adult Community,36.2142,-81.666,MA
166,Raging Ridgebacks,ridgebacks,Huntingdon,PA,16652,College,40.5023,-78.005,MA
170,Red Cedar River Monsters,river-monsters,Washington,DC,20001,Adult Community,38.9122,-77.0177,MA
173,Richmond Quidditch,richmond-quidditch,Richmond,VA,23173,College,37.5737,-77.5407,MA
174,Richmond Ravens,ravens,Richmond,VA,23219,Adult Community,37.5463,-77.4378,MA
181,Rutgers Nearly Headless Knights,rutgers,EDISON,NJ,8820,College,40.578,-74.3589,MA
182,Rutgers University Quidditch,rutgers-1,New Brunswick,NJ,8901,College,40.4891,-74.4482,MA
195,South Jersey HellHounds,hellhounds-1,Glendora,NJ,8029,Adult Community,39.8404,-75.0697,MA
199,Steel City Quidditch Club,steel-city,Oak Island,NC,28465,Adult Community,33.9161,-78.1255,MA
200,Stockton University Ospreys,ospreys,Galloway,NJ,8205,College,39.4283,-74.4961,MA
208,Team-Who-Must-Not-Be-Named,the-dark-team,Hamilton,NJ,8619,Adult Community,40.242,-74.6904,MA
230,The University of North Carolina at Chapel Hill Quidditch,unc-quidditch,Chapel Hill,NC,27599,College,35.9052,-79.0474,MA
232,The Warriors,warriors,Clifton,NJ,7013,Adult Community,40.8693,-74.1711,MA
239,Tri-State Lightning Quidditch Club,tri-state-lightning-1,Bayonne,NJ,7002,Adult Community,40.6664,-74.1192,MA
252,University of Mary Washington Quidditch,umw-quidditch,Fredericksburg,VA,22401,College,37.3429,-77.4156,MA
258,University of North Carolina at Greensboro,spartans,Greensboro,NC,27402,College,36.0681,-79.952,MA
273,Villanova Community Quidditch,villanova-quidditch,Villanova,PA,19085,Adult Community,40.0399,-75.3459,MA
274,Villanova Quidditch,nova-quidditch-2,Villanova,PA,19085,College,40.0399,-75.3459,MA
275,Virginia Quidditch Club,virginia-qc,Charlottesville,VA,22903,College,38.0327,-78.5058,MA
276,Virginia Tech,vt,Blacksburg,VA,24060,College,37.2288,-80.4273,MA
277,Virginia Tech Phoenixes,vt-quidditch,Blacksburg,VA,24060,College,37.2288,-80.4273,MA
280,West Virginia Mountaineers,wvu-quidditch,Morgantown,WV,26506,College,39.6494,-79.9571,MA
284,Wilmington Warhawks,wilmington-2,Wilmington,NC,28403,College,34.2237,-77.8862,MA
288,Wizengamot Quidditch at VCU,vcu-wizengamot-1,Richmond,VA,23220,College,37.5498,-77.4588,MA
2,Anarchs Quidditch,anarchs,Topeka,KS,66607,Adult Community,39.0421,-95.6449,MW
17,Blue Mountain Quidditch Club,blue-mountain,Toledo,OH,43614,Adult Community,41.6028,-83.6292,MW
18,Boggarts Quidditch Club at Colorado State University,boggarts-quidditch-club-at-csu,Fort Collins,CO,80524,College,40.5986,-105.058,MW
33,Central Michigan Quidditch,centaurs-1,Mount Pleasant,MI,48858,College,43.6013,-84.7736,MW
35,Chicago Phoenix Quidditch Club,chicago-phoenix-2,Chicago,IL,60660,Adult Community,41.9909,-87.6629,MW
36,Chicago United Quidditch Club,chicago-united-1,Port Barrington,IL,60010,Adult Community,42.1614,-88.1383,MW
