team_name,abbreviation,city,state,zip,type,lat,long,region
Wooster Scottish Nationals,wooster-scots,Wooster,OH,44691,College,40.8094,-81.9483,13
 Wizengamot Quidditch at VCU,vcu-wizengamot-1,Richmond,VA,23220,College,37.5498,-77.4588,2
 Wizards of Westwood,wizards-1,Los Angeles,CA,90024,College,34.0637,-118.441,4
 Wisconsin Quidditch,wisconsin,madison,WI,53719,College,43.0321,-89.4993,3
 Western Washington Wyverns,wyverns,Bellingham,WA,98225,College,48.749,-122.489,12
 West Virginia Mountaineers,wvu-quidditch,Morgantown,WV,26506,College,39.6494,-79.9571,2
 Virginia Quidditch Club ,virginia-qc,Charlottesville,VA,22903,College,38.0327,-78.5058,2
 Villanova Quidditch,nova-quidditch-2,Villanova,PA,19085,College,40.0399,-75.3459,2
 Utah State Quidditch Club,utah-state,Logan,UT,84321,College,41.747,-111.823,4
 University of Texas at San Antonio,utsa-club-quidditch-2,San Antonio,TX,78249,College,29.5612,-98.6117,6
 University of Southern Mississippi,southern-miss,Hattiesburg,MS,39406,College,31.3282,-89.3303,5
 University of Southern Indiana Quidditch,southern-indiana-quidditch,Evansville,IN,47712,College,37.9985,-87.6347,13
 University of Southern California,usc-quidditch,Los Angeles,CA,90007,College,34.0294,-118.287,4
 University of South Florida Quidditch,south-florida-quidditch,Tampa,FL,33620,College,28.0695,-82.4092,5
 University of Rochester Thestrals,ur-thestrals,Rochester,NY,14620,College,43.1317,-77.6062,1
 University of Northern Colorado,unc,Greeley,CO,80631,College,40.414,-104.705,3
 University of Miami,umiami,Coral Gables,FL,33146,College,25.7201,-80.2746,5
 University of Massachusetts Lowell Riverhawks,umass-lowell-riverhawks-1,Lowell,MA,1854,College,42.6493,-71.3355,1
 University of Massachusetts Amherst Crabs,umass-amherst-crabs,Amherst ,MA,1003,College,42.3892,-72.5256,1
 University of Dayton Quidditch,ud-quidditch,Dayton,OH,45469,College,39.7331,-84.1804,13
 University of California Los Angeles,ucla,Los Angeles,CA,90095-1612,College,34.0708,-118.444,4
 University of Arkansas Quidditch Club,arkansas-quidditch-2,Fayetteville,AR,72701,College,36.052,-94.1534,6
 University of Arizona Quidditch,ua-quidditch,Tucson,AZ,85716,College,32.2468,-110.922,4
 Tulane University,tu-quidditch,New Orleans,LA,70118,College,29.9504,-90.1236,6
 Tufts University Tufflepuffs,tufts-quidditch,Medford,MA,2155,College,42.4173,-71.1087,1
 Tribe,tribe-1,Bonanza,AR,72916,Adult Community,35.2502,-94.3703,6
 Tri-State Lightning Quidditch Club,tri-state-lightning-1,Bayonne,NJ,7002,Adult Community,40.6664,-74.1192,2
 Toledo Quidditch,toledo-2,Toledo,OH,43609,College,41.6298,-83.5773,13
 The Warriors,warriors,Clifton,NJ,7013,Adult Community,40.8693,-74.1711,2
 The University of North Carolina at Chapel Hill Quidditch,unc-quidditch,Chapel Hill,NC,27599,College,35.9052,-79.0474,2
 The Southern Storm,storm,rock hill ,SC,29733,Adult Community,34.9415,-81.0309,5
 The Silver Phoenix,silver-phoenix-1,College Station,TX,77843,College,30.6147,-96.34,6
 The Lost Boys,lost-boys,Lomita,CA,90717,Adult Community,33.7933,-118.317,4
 The Long Beach Funky Quaffles,funky-quaffles-1,Westminster ,CA,92683,Adult Community,33.7528,-117.991,4
 The Forgotten Ones Quidditch,forgotten-ones-quidditch,Cookeville,TN,38501,Adult Community,36.1743,-85.4953,5
 The Fighting Farmers of Arizona,farmers-2,Scottsdale,AZ,85254,Adult Community,33.6165,-111.955,4
 Texas Tech Quidditch,texas-tech,Lubbock,TX,79401,College,33.5865,-101.861,6
 Texas State University - San Marcos,texas-state,San Marcos,TX,78666,College,29.8754,-97.9404,6
