team_name,abbreviation,city,state,zip,type,lat,long,region
Wooster Scottish Nationals,wooster-scots,Wooster,OH,44691,University,40.8094,-81.9483,13
 Wizengamot Quidditch at VCU,wizengamot,Richmond ,VA,23220,University,37.5498,-77.4588,2
 Wizards of Westwood,wizards-1,Los Angeles,CA,90024,Adult Community,34.0637,-118.441,4
 Wilmington Warhawks,wilmington-2,Wilmington,NC,28403,University,34.2237,-77.8862,2
 Wichita State University,shockers-1,Wichita,KS,67260,University,37.7165,-97.2968,3
 Western Washington Wyverns,wyverns,Bellingham,WA,98225,University,48.749,-122.489,12
 Western Michigan University Thestrals,wmu-thestrals,Kalamazoo,MI,49008,University,42.2624,-85.6096,13
 West Virginia Mountaineers,wvu-quidditch,Morgantown,WV,26506,University,39.6494,-79.9571,2
 West Texas Rebels Quidditch Club,west-texas-rebels,El Paso,TX,79968,University,31.7707,-106.504,6
 Webster University Quidditch,webster,St. Louis,MO,63119,University,38.5889,-90.3508,3
 Virginia Tech,vt,Blacksburg,VA,24060,University,37.2288,-80.4273,2
 Virginia Quidditch Club ,virginia-qc,Charlottesville,VA,22903,University,38.0327,-78.5058,2
 Villanova Community Quidditch,villanova-quidditch,Villanova,PA,19085,Community,40.0399,-75.3459,2
 Utah State Quidditch Club,utah-state,Logan,UT,84321,University,41.747,-111.823,4
 University of Texas at San Antonio Club Quidditch,utsa-club-quidditch-1,San Antonio,TX,78249,University,29.5612,-98.6117,6
 University of Southern Mississippi,southern-miss,Hattiesburg,MS,39406,University,31.3282,-89.3303,5
 University of Southern Indiana Quidditch,southern-indiana-quidditch,Evansville,IN,47712,University,37.9985,-87.6347,13
 University of Southern California,usc-quidditch,Los Angeles,CA,90007,University,34.0294,-118.287,4
 University of South Florida Quidditch,south-florida-quidditch,Tampa,FL,33620,University,28.0695,-82.4092,5
 University of South Carolina,gamecocks-1,Columbia,SC,29208,University,33.9964,-81.0265,5
 University of Rochester Thestrals,ur-thestrals,Rochester,NY,14620,University,43.1317,-77.6062,1
 University of Richmond Quidditch,richmond-quidditch,Richmond,VA,23173,University,37.5737,-77.5407,2
 University of Northern Colorado,unc,Greeley,CO,80631,University,40.414,-104.705,3
 University of North Texas,north-texas,Denton,TX,76201,University,33.2289,-97.1314,6
 University of Miami,umiami,Coral Gables,FL,33146,University,25.7201,-80.2746,5
 University of Massachusetts Amherst Crabs,umass-crabs,Amherst,MA,01003,University,42.3892,-72.5256,1
 University of Mary Washington Quidditch,umw-quidditch,Fredericksburg,VA,22401,University,37.3429,-77.4156,2
 University of Florida Quidditch,uf-quidditch,Gainesville,FL,32607,University,29.6456,-82.4033,5
 University of California Los Angeles,ucla,Los Angeles,CA,90095-1612,University,34.0708,-118.444,4
 University of British Columbia ,ubc-thunderbirds,"Vancouver,  BC,  Canada",AK,V6T 1Z4,University,49.255,-123.187,12
 University of Arkansas Quidditch Club,arkansas-quidditch,Fayetteville,AR,72704,University,36.0967,-94.2373,6
 University of Arizona Quidditch,ua-quidditch,Tucson,AZ,85716,University,32.2468,-110.922,4
 University at Buffalo Dragons ,ub-dragons,Buffalo ,NY,14260,University,43.0003,-78.7902,1
 Tulane University,tu-quidditch,New Orleans,LA,70118,University,29.9504,-90.1236,6
 Tufts University Tufflepuffs,tufts-quidditch,Medford,MA,02155,University,42.4173,-71.1087,1
 Tribe Quidditch,tribe,Fort Smith,AR,72908,Adult Community,35.3028,-94.4093,6
 Tri-State Lightning Quidditch Club,tri-state-lightning,Bayonne,NJ,07002,Adult Community,40.6664,-74.1192,2
 Toledo Quidditch,toledo-2,Toledo,OH,43609,University,41.6298,-83.5773,13
 Time Turners Quidditch,time-turners-2,Knoxville,TN,37916,University,35.9556,-83.9336,5
 The Warriors,warriors,Staten Island,NY,10312,Adult Community,40.5457,-74.1792,1
 The University of North Carolina at Chapel Hill Quidditch,unc-quidditch,Chapel Hill,NC,27599,University,35.9052,-79.0474,2
 The Southern Storm,southern-storm,rock hill ,SC,29733,Adult Community,34.9415,-81.0309,5
 The Silver Phoenix,silver-pheonix,College Station,TX,77840,Adult Community,30.6045,-96.3123,6
 The Rogues,the-rogues,Brooklyn,NY,11206,Adult Community,40.7012,-73.9436,1
 The Lost Boys,lost-boys,Lomita,CA,90717,Adult Community,33.7933,-118.317,4
 The Long Beach Funky Quaffles,the-funky-quaffles,Westminster ,CA,92683,Adult Community,33.7528,-117.991,4
 The Honolulu Nightmarchers,the-nightmarchers,Honolulu,HI,96813,Adult Community,21.3179,-157.852,4
 The Fighting Farmers of America,farmers,Long Beach,CA,90808,Adult Community,33.8241,-118.11,4
 Texas Tech Quidditch,texas-tech,Lubbock,TX,79401,University,33.5865,-101.861,6
 Texas State University - San Marcos,texas-state,San Marcos,TX,78666,University,29.8754,-97.9404,6
 Texas Quidditch,texas-quidditch-1,Austin,TX,78712,University,30.2858,-97.7349,6
 Texas Cavalry,cavalry,Austin,TX,78751,Adult Community,30.3093,-97.7242,6
 Texas A&M Quidditch,texas-a-m-quidditch,College Station,TX,77840,University,30.6045,-96.3123,6
 Tennessee Tech Quidditch,tennessee-tech-quidditch,Cookeville,TN,38501,University,36.1743,-85.4953,5
 TC FROST,frost,Minneapolis,MN,55419,Adult Community,44.9026,-93.2886,3
 Syracuse University Quidditch Club,syracuse-snare,Syracuse ,NY,13244,University,43.0394,-76.1361,1
 SUNY Geneseo,geneseo,Geneseo,NY,14454,University,42.7938,-77.7996,1
 Sun Devil Quidditch,sun-devils,Tempe,AZ,85281,University,33.4227,-111.926,4
 Stony Brook Quidditch,stony-brook,Stony Brook,NY,11794,University,40.9141,-73.1255,1
 Stockton University Ospreys,ospreys,Galloway,NJ,08205,University,39.4283,-74.4961,2
 Stanford Quidditch,stanford,Stanford,CA,94309,University,37.4242,-122.165,4
 Southern Illinois University Quidditch,saluki-quidditch,Carbondale,IL,62901,University,37.72,-89.2158,3
 South Bay Blazers,the-blazers,San Jose ,CA,95136,Adult Community,37.2684,-121.848,4
 Skyfighters Quidditch Club,skyfighters,Newark,CA,94560,Adult Community,37.5368,-122.032,4
 Skidmore Quidditch,skidmore-quidditch,Saratoga Springs,NY,12866,University,43.0801,-73.7806,1
 Silicon Valley Vipers,vipers,Mountain View,CA,94041,Adult Community,37.3893,-122.078,4
 Silicon Valley Skrewts,skrewts-1,Alviso,CA,95002,Adult Community,37.4277,-121.969,4
 SHSU Quidditch,sam-houston,Huntsville,TX,77340,University,30.7344,-95.5342,6
 Seattle Salamanders,salamanders,Seattle,WA,98102,University\\/Community,47.6302,-122.321,12
 Santa Barbara Blacktips,blacktips-1,Goleta,CA,93117,Adult Community,34.4296,-119.861,4
 San Marcos Sharknados,sharknados-1,San Marcos,TX,78666,Adult Community,29.8754,-97.9404,6
 San Jose State University Spartans,sjsu,San Jose,CA,95112,University,37.3414,-121.88,4
" ""Saint Pauls School""",werewolves-1,Covington,LA,70433,High School,30.4876,-90.0959,6
 Rutgers University Quidditch,rutgers-1,New Brunswick,NJ,08901,University,40.4891,-74.4482,2
 RPI Remembralls,rpi,Troy,NY,12180,University,42.7287,-73.6683,1
 Rochester United,rochester-united,Rochester,NY,14623,Adult Community,43.0834,-77.6344,1
 RIT Dark Marks,dark-marks,Rochester,NY,14623,University,43.0834,-77.6344,1
 Ringling College of Art and Design Quidditch,ringling-quidditch,Sarasota,FL,34234,University,27.3654,-82.5352,5
 RCQC,rcqc-2,Winter Park,FL,32789,University,28.5978,-81.3534,5
 Rain City Raptors,raptors-1,Bellevue,WA,98004,Adult Community,47.6199,-122.207,12
 Quidditch Club Boston,q-c-boston-1,Cambridge,MA,02139,Adult Community,42.3647,-71.1042,1
 Q.C. Pittsburgh,q-c-pitt-2,Pittsburgh,PA,15213,University,40.4437,-79.9544,2
 Purdue Intercollegiate Quidditch Club ,purdue-quidditch-1,West Lafayette,IN,47906,University,40.444,-86.9237,13
 Provo Quidditch,provo,Provo,UT,84606,Adult Community,40.2347,-111.645,4
 Portland Augureys,augureys-2,Vancouver,WA,98662,Adult Community,45.6745,-122.576,12
 Philadelphia Honey Badgers,philly-honey-badgers,Philadelphia,PA,08535,Adult Community,40.215,-74.4404,2
 Penn State University Nittany Lions,penn-state-nittany-lions,University Park,PA,16802,University,40.8019,-77.8567,2
 Pacific Phoenix Quidditch Club,pacific-phoenix,Stockton,CA,95211,University,37.9804,-121.31,4
 Osos De Muerte,osos,Waco,TX,76706,University,31.5171,-97.1198,6
 Oklahoma State University,oklahoma-state,Stillwater,OK,74075,University,36.1396,-97.063,6
 Oklahoma Quidditch Club,o-q-c,Oklahoma City,OK,73127,Adult Community,35.4834,-97.6299,6
 Ohio University Quidditch Club,ohio-university,Athens,OH,45701,University,39.3178,-82.102,13
 Ohio State Quidditch,osu-quidditch,Columbus,OH,43201,University,39.9952,-83.0047,13
 Northwestern Kneazles,kneazles,Evanston,IL,60201,University,42.0546,-87.6943,3
 Northern Arizona University Narwhals,narwhals,Flagstaff,AZ,86001,University,35.1859,-111.662,4
 New York Quidditch Club,new-york-qc,New York,NY,10012,University,40.7255,-73.9983,1
 New York Badassilisks,ny-badassilisks,New York,NY,10033,Adult Community,40.8496,-73.9356,1
 Nearly Headless Knights Quidditch,ucf-quidditch,Orlando,FL,32816,University,28.6049,-81.205,5
 Moscow Manticores at the University of Idaho,moscow-manticores-1,Moscow,ID,83843,Adult Community,46.7309,-116.99,12
 Mizzou Quidditch,mizzou,Columbia,MO,65211,University,38.9368,-92.3221,3
 Minnesota Quidditch,minnesota,Minneapolis,MN,55455,University,44.9816,-93.2393,3
 Minnesota Nice Quidditch Club,mnqc,Minneapolis,MN,55405,Adult Community,44.9687,-93.2991,3
 Michigan State Quidditch,michigan-state-1,East Lansing,MI,48823,University,42.7388,-84.4764,13
 Michigan Quidditch Team,michigan-quidditch,Ann Arbor,MI,48104,University,42.2694,-83.7282,13
 Miami University,miami-university,Oxford,OH,45056,University,39.5038,-84.7385,13
 McNary Celtics Quidditch,mcnary,Keizer,OR,97303,High School,44.9858,-123.019,12
 Maryland Quidditch,maryland,College Park,MD,20740,University,38.9963,-76.9299,2
 Marquette University Quidditch,marquette,Milwaukee,WI,53233,University,43.0407,-87.9357,3
 Mansfield University Fire Ferrets Quidditch,mu-fire-ferrets-1,Mansfield,PA,16933,University,41.8123,-77.0716,2
 Macaulay Honors College Marauders,macaulay-marauders,New York,NY,10023,University,40.7764,-73.9827,1
 Lumberjack Quidditch,lumberjack-quidditch-1,Nacogdoches,TX,75962,University,31.6191,-94.6495,6
 Loyola University New Orleans,dat-wolf-pack,New Orleans,LA,70118,University,29.9504,-90.1236,6
 Loyola University Chicago,loyola-lumos-3,Chicago,IL,60660,University,41.9909,-87.6629,3
 Louisiana State University,lsu,Baton Rouge,LA,70803,University,30.4124,-91.1822,6
 Los Angeles Gambits,la-gambits,Torrance,CA,90717,Adult Community,33.7933,-118.317,4
 Lone Star Quidditch Club,lone-star-qc,Austin,TX,78705,Adult Community,30.2896,-97.7396,6
 Lock Haven University Quidditch,lhu-quidditch,Lock Haven,PA,17745,University,41.1425,-77.4436,2
 Lake Effect Tempest,tempest,Chardon,OH,44024,Adult Community,41.5719,-81.2056,13
 Lake Effect Maelstrom,maelstrom-1,Dayton,OH,45410,Adult Community,39.7474,-84.16,13
 Kansas Quidditch,kansas-quidditch,Lawrence,KS,66049,University,38.9704,-95.2769,3
 James Madison University Quidditch,madison-marauders,Harrisonburg,VA,22807,University,38.4341,-78.8674,2
 Ithaca College Hex,ic-hex,Ithaca,NY,14850,University,42.4485,-76.4929,1
 Iowa State Quidditch,iowa-state,Ames,IA,50014,University,42.0293,-93.667,3
 inTENNsity,intennsity,Cookeville ,TN,38501,Adult Community,36.1743,-85.4953,5
 Indiana University Quidditch,iu-quidditch,Bloomington,IN,47405,University,39.168,-86.5205,13
 Illinois State University Firebirds,firebirds,Normal,IL,61761,University,40.5124,-88.9883,3
 Horn Tailed Horcruxes,horn-tails-1,Irvington,NJ,07079,Adult Community,40.7465,-74.2575,2
 Hopkins Hallows,hopkins,Baltimore,MD,21218,University,39.3265,-76.6048,2
 Hofstra University Flying Dutchmen,hofstra-quidditch,Hempstead,NY,11549,University,40.7139,-73.6003,1
 Harvard Horntails,harvard,Cambridge,MA,02138,University,42.377,-71.1256,1
